,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,cv_iter
14,RandomForestEntr,0.7111111111111111,0.7356376262626263,0.020947933197021484,0.017590999603271484,0.2085099220275879,0.020947933197021484,0.017590999603271484,0.2085099220275879,1,True,5,1
15,ExtraTreesEntr,0.6972222222222223,0.7391098484848485,0.020425081253051758,0.01729106903076172,0.20832395553588867,0.020425081253051758,0.01729106903076172,0.20832395553588867,1,True,8,1
16,RandomForestGini,0.6933333333333334,0.7546559343434344,0.021178007125854492,0.016918182373046875,0.22705292701721191,0.021178007125854492,0.016918182373046875,0.22705292701721191,1,True,4,1
17,XGBoost,0.6722222222222222,0.7765151515151515,0.010145902633666992,0.0031681060791015625,2.7085509300231934,0.010145902633666992,0.0031681060791015625,2.7085509300231934,1,True,9,1
18,CatBoost,0.6683333333333333,0.7761994949494948,0.0029838085174560547,0.003863096237182617,1.8936641216278076,0.0029838085174560547,0.003863096237182617,1.8936641216278076,1,True,6,1
19,NeuralNetFastAI,0.6672222222222223,0.6870265151515151,0.0065631866455078125,0.007436990737915039,0.9431760311126709,0.0065631866455078125,0.007436990737915039,0.9431760311126709,1,True,1,1
20,NeuralNetTorch,0.665,0.7466856060606061,0.0040361881256103516,0.004200935363769531,0.5899910926818848,0.0040361881256103516,0.004200935363769531,0.5899910926818848,1,True,10,1
21,WeightedEnsemble_L2,0.6338888888888888,0.8150252525252526,0.0575408935546875,0.0393064022064209,23.609294891357422,0.0019559860229492188,0.001154184341430664,1.0845279693603516,2,True,12,1
22,LightGBMXT,0.6177777777777776,0.7572601010101009,0.00771784782409668,0.0035409927368164062,3.635380983352661,0.00771784782409668,0.0035409927368164062,3.635380983352661,1,True,2,1
23,LightGBM,0.5872222222222222,0.7795138888888888,0.0061070919036865234,0.0046079158782958984,3.2988429069519043,0.0061070919036865234,0.0046079158782958984,3.2988429069519043,1,True,3,1
24,LightGBMLarge,0.5494444444444445,0.7750946969696969,0.011133909225463867,0.00539398193359375,13.806664943695068,0.011133909225463867,0.00539398193359375,13.806664943695068,1,True,11,1
26,ExtraTreesGini,0.763425925925926,0.7513415404040403,0.02035212516784668,0.017236948013305664,0.21248102188110352,0.02035212516784668,0.017236948013305664,0.21248102188110352,1,True,7,2
27,ExtraTreesEntr,0.7578703703703704,0.7571022727272728,0.020737171173095703,0.017956256866455078,0.20993876457214355,0.020737171173095703,0.017956256866455078,0.20993876457214355,1,True,8,2
28,XGBoost,0.7481481481481481,0.7927714646464646,0.009912967681884766,0.0032160282135009766,2.7956058979034424,0.009912967681884766,0.0032160282135009766,2.7956058979034424,1,True,9,2
29,RandomForestEntr,0.7314814814814815,0.7652304292929292,0.0206148624420166,0.01734614372253418,0.212141752243042,0.0206148624420166,0.01734614372253418,0.212141752243042,1,True,5,2
30,RandomForestGini,0.7280092592592592,0.763888888888889,0.02131199836730957,0.017305850982666016,0.22620606422424316,0.02131199836730957,0.017305850982666016,0.22620606422424316,1,True,4,2
31,CatBoost,0.7226851851851852,0.7458964646464646,0.003464221954345703,0.004024028778076172,2.9543538093566895,0.003464221954345703,0.004024028778076172,2.9543538093566895,1,True,6,2
